,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
26221,proton,All_or_Total,3,All_or_Total,Other,Lab,99200000.0,1796986.7198381887,0.634,0.017752,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,8,No Pointer,21,"21-SC-45(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Astrophysical Journal Vol.188, p.131, 1974",O0340008,O0340,"(J,AJ,188,131,197402)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26222,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,2910000.0,71455.66884449759,0.02835,0.0042525,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26223,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,3007000.0,73837.5244726475,0.03341,0.0050115,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26224,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,3115000.0,76489.48744007216,0.05386,0.008079,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26225,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,3212000.0,78871.34306822208,0.06807,0.010211,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26226,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,3303000.0,81105.86742040397,0.07303,0.010955,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26227,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,3396000.0,83389.50219790853,0.06229,0.0093435,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26228,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,3609000.0,88619.76249477382,0.09998,0.014997,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26229,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,3870000.0,95028.6729993834,0.1156,0.01734,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26230,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,4112000.0,100971.03446342752,0.1344,0.02016,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26231,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,4347000.0,106741.50943884227,0.1568,0.02352,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26232,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,4609000.0,113174.9751561132,0.1699,0.025485,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26233,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,4844000.0,118945.45013152796,0.1983,0.029745,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26234,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,5100000.0,125231.58457283083,0.1984,0.02976,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26235,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,5348000.0,131321.277312843,0.221,0.03315,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26236,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,5570000.0,136772.53452366035,0.2532,0.03798,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26237,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,5826000.0,143058.66896496323,0.2592,0.03888,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26238,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,6068000.0,149001.03042900734,0.2743,0.041145,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26239,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,6311000.0,154967.9471057128,0.2618,0.03927,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26240,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,6802000.0,167024.55652243044,0.3086,0.04629,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
26241,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,7307000.0,179424.93891640686,0.3281,0.049215,0.0,0.0,Other,"A.J.Howard,ET.AL. (74)   ",C0180,6,No Pointer,21,"21-SC-45(P,N)22-TI-45,,SIG",Measurement and theoretical analysis of some reaction rates of interest in silicon burning,1974,A.J.Howard+,1USACAL,2001/10/02,"Jour. Nuclear Physics, Section A Vol.96, p.521, 1967",C0180006,C0180,"(J,NP/A,96,521,1967)",1,1,0,45Sc,Sc,24,45,I,4.446116630612578,0.1799323019310398,Other,-41071.896,0.675,8618.931,0.015,-2062.056,0.509,44955907.503,0.7240000000000001,21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,-6892.19,-11327.23,-18023.3639,-15798.7979,-17474.4649,-20981.0894,-19074.45,-21026.43,-7937.27,-2844.4025,-6892.19,-11327.23,-9102.664,-12376.9865,-12544.6351,-10305.323500000002,-11797.0235,-6892.19,-4667.624,-11327.23,-9541.568900000002,-11356.4096,-5070.000999999998,-1398.7155999999993,-2080.648,9250.3894,12921.674900000002
