,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
134954,proton,All_or_Total,3,All_or_Total,Other,Lab,9980000.0,420000.0,0.049,0.153,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,18,No Pointer,90,"90-TH-232(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0741018,O0741,"(J,CJP,44,1847,66)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134955,proton,All_or_Total,3,All_or_Total,Other,Lab,99100000.0,1795175.2412899646,2.006,0.056168,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,41,No Pointer,90,"90-TH-232(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Physical Review Vol.88, p.860, 1952",O0340041,O0340,"(J,PR,88,860,1952)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134956,proton,All_or_Total,4,All_or_Total,Other,Lab,6700000.0,164519.92483097385,0.000251,6.526e-06,0.0,0.0,Other,"H.A.TEWES,ET.AL. (52)    ",O0661,4,S,90,"90-TH-232(P,N)91-PA-232,,SIG",Proton Induced Reactions of Thorium-Fission Yield Curves.,1952,H.A.Tewes+,1USACLA,2001/01/01,"Jour. Physica Scripta Vol.24, p.930, 1981",O0661004S,O0661,"(J,PS,24,930,1981)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134957,proton,All_or_Total,4,All_or_Total,Other,Lab,8000000.0,196441.70129071505,0.00259,6.734e-05,0.0,0.0,Other,"H.A.TEWES,ET.AL. (52)    ",O0661,4,S,90,"90-TH-232(P,N)91-PA-232,,SIG",Proton Induced Reactions of Thorium-Fission Yield Curves.,1952,H.A.Tewes+,1USACLA,2001/01/01,"Jour. Physica Scripta Vol.24, p.930, 1981",O0661004S,O0661,"(J,PS,24,930,1981)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134958,proton,All_or_Total,4,All_or_Total,Other,Lab,9300000.0,228363.47775045625,0.00636,0.00016536,0.0,0.0,Other,"H.A.TEWES,ET.AL. (52)    ",O0661,4,S,90,"90-TH-232(P,N)91-PA-232,,SIG",Proton Induced Reactions of Thorium-Fission Yield Curves.,1952,H.A.Tewes+,1USACLA,2001/01/01,"Jour. Physica Scripta Vol.24, p.930, 1981",O0661004S,O0661,"(J,PS,24,930,1981)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134959,proton,All_or_Total,4,All_or_Total,Other,Lab,13300000.0,326584.32839581376,0.0155,0.000403,0.0,0.0,Other,"H.A.TEWES,ET.AL. (52)    ",O0661,4,S,90,"90-TH-232(P,N)91-PA-232,,SIG",Proton Induced Reactions of Thorium-Fission Yield Curves.,1952,H.A.Tewes+,1USACLA,2001/01/01,"Jour. Physica Scripta Vol.24, p.930, 1981",O0661004S,O0661,"(J,PS,24,930,1981)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134960,proton,All_or_Total,4,All_or_Total,Other,Lab,17800000.0,437082.7853718409,0.0207,0.0005382,0.0,0.0,Other,"H.A.TEWES,ET.AL. (52)    ",O0661,4,S,90,"90-TH-232(P,N)91-PA-232,,SIG",Proton Induced Reactions of Thorium-Fission Yield Curves.,1952,H.A.Tewes+,1USACLA,2001/01/01,"Jour. Physica Scripta Vol.24, p.930, 1981",O0661004S,O0661,"(J,PS,24,930,1981)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134961,proton,All_or_Total,4,All_or_Total,Other,Lab,19500000.0,478826.6468961179,0.00683,0.00017758,0.0,0.0,Other,"H.A.TEWES,ET.AL. (52)    ",O0661,4,S,90,"90-TH-232(P,N)91-PA-232,,SIG",Proton Induced Reactions of Thorium-Fission Yield Curves.,1952,H.A.Tewes+,1USACLA,2001/01/01,"Jour. Physica Scripta Vol.24, p.930, 1981",O0661004S,O0661,"(J,PS,24,930,1981)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134962,proton,All_or_Total,4,All_or_Total,Other,Lab,21100000.0,518114.9871542609,0.00669,0.00017394,0.0,0.0,Other,"H.A.TEWES,ET.AL. (52)    ",O0661,4,S,90,"90-TH-232(P,N)91-PA-232,,SIG",Proton Induced Reactions of Thorium-Fission Yield Curves.,1952,H.A.Tewes+,1USACLA,2001/01/01,"Jour. Physica Scripta Vol.24, p.930, 1981",O0661004S,O0661,"(J,PS,24,930,1981)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134963,proton,All_or_Total,4,All_or_Total,Other,Lab,6800000.0,100000.0,0.00084,8e-05,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134964,proton,All_or_Total,4,All_or_Total,Other,Lab,7230000.0,100000.0,0.0019,0.0001,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134965,proton,All_or_Total,4,All_or_Total,Other,Lab,8850000.0,100000.0,0.007,0.0005,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134966,proton,All_or_Total,4,All_or_Total,Other,Lab,10100000.0,100000.0,0.0089,0.0006,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134967,proton,All_or_Total,4,All_or_Total,Other,Lab,11170000.0,100000.0,0.0109,0.0008,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134968,proton,All_or_Total,4,All_or_Total,Other,Lab,12380000.0,100000.0,0.013,0.0009,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134969,proton,All_or_Total,4,All_or_Total,Other,Lab,13500000.0,100000.0,0.017,0.0012,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134970,proton,All_or_Total,4,All_or_Total,Other,Lab,14800000.0,100000.0,0.0188,0.0012,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134971,proton,All_or_Total,4,All_or_Total,Other,Lab,17260000.0,100000.0,0.0203,0.002,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134972,proton,All_or_Total,4,All_or_Total,Other,Lab,18750000.0,100000.0,0.0171,0.0017,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134973,proton,All_or_Total,4,All_or_Total,Other,Lab,20230000.0,100000.0,0.0224,0.0024,0.0,0.0,Other,"A.Celler,ET.AL. (81)     ",A0348,2,1,90,"90-TH-232(P,N)91-PA-232,,SIG","Cross section of Th-232(p,xn+gamma+p) reactions at E p= 6.8 to 20.2 MeV",1981,A.Celler+,2SF JYV,2016/02/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.25, p.3011, 1982",A03480021,A0348,"(J,PR/C,25,3011,1982)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
134974,proton,All_or_Total,4,All_or_Total,Other,Lab,8000000.0,196441.70129071505,0.0025,0.0002512563155566,0.0,0.0,Other,"H.Kudo,ET.AL. (82)       ",O0020,27,No Pointer,90,"90-TH-232(P,N)91-PA-232,,SIG",Fission fragment yields in the fission of Th-232 by protons of energies 8 to 22 MeV.,1982,H.Kudo+,2JPNTOK,2015/11/00,"Jour. Yadernaya Fizika Vol.60, p.2121, 1997",O0020027,O0020,"(J,YF,60,2121,1997)",1,1,0,232Th,Th,142,232,I,7.680792064214618,0.1041559247160536,Other,35446.784,1.422,7615.033,0.006,-499.85,7.734,232038053.689,1.526,11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,6440.42,1.07,7605.04,13.12,-2916.36,17.65,12319.21,15.9,9620.91,12.19,8531.22,15.51,-7605.04,-6440.42,-13751.8839,-11527.317900000002,-10192.9549,-12046.3994,-13647.46,-11558.44,4081.6,-1282.1965,-7605.04,-6440.42,-4215.854,-6831.286499999998,-3076.6451,-6033.843500000003,-9276.3235,-7605.04,-5380.474,-6440.42,-5270.088900000002,-5929.419599999998,-183.1909999999998,-2111.5656,-518.442,14137.1994,12208.8249
